id,category,code,codigo_del_atc_version_2019,description,percent,principio_activo_atc,principio_activo_reportado_por_el_ms
86,Exento,3544099990300,,Reactivo para diagnóstico in vitro,0,,
87,Exento,3569106000100,,"Gasa quirúrgica, incluida la esponja de gasa estéril",0,,
88,Exento,3569106000200,,"Algodón quirúrgico (incluye ""swabs"")",0,,
89,Exento,3569106009900,,"Guatas, gasas, vendas y apósitos médicos impregnados, n.c.p.",0,,
90,Exento,3569107000100,,"Esparadrapo, de uso médico, quirúrgico, odontológico o veterinario ",0,,
91,Exento,3569107009900,,"Curitas, apósitos y demás artículos con capa adhesiva, n.c.p.",0,,
92,Exento,3569199000100,,Cinta umbilical,0,,
93,Exento,3569199000200,,Aplicadores antisépticos con motas de algodón en uno o ambos extremos,0,,
94,Exento,3569199000300,,"Malla ""Mersilene""",0,,
95,Exento,3569199000400,,Malla elástica tubular para vendajes,0,,
96,Exento,3569201000000,,"Catguts y ligaduras similares, estériles, para suturas quirúrgicas, incluidos los hilos reabsorbibles estériles para cirugía u odontología",0,,
97,Exento,3569202000000,,Adhesivos estériles para tejidos orgánicos utilizados en cirugía para cerrar heridas,0,,
98,Exento,3569203000000,,"Laminarias estériles, para cirugía y odontología",0,,
99,Exento,3569206010000,,"Cementos para la refección de los huesos, a base de cera de abeja",0,,
100,Exento,3569206990000,,"Cementos para la refección de los huesos, n.c.p.",0,,
101,Exento,3569207000100,,Soldadura para puentes dentales y ortodoncia,0,,
102,Exento,3569207000200,,Fundente de uso odontológico,0,,
103,Exento,3569207000300,,Eugenol para uso odontológico,0,,
104,Exento,3569207000400,,Gutapercha para uso odontológico,0,,
105,Exento,3569207000500,,"Resinas adhesivas, para uso dental ",0,,
106,Exento,3569207000600,,"Porcelanas, de uso odontológico",0,,
107,Exento,3569207000700,,Tiras de celuloide o plásticas,0,,
108,Exento,3569207000800,,Amalgama para prótesis dental,0,,
109,Exento,3569207009900,,Cementos y demás productos de obturación dental,0,,
110,Exento,3569299010000,,Botiquines equipados para primeros auxilios,0,,
111,Exento,3626001990100,,"Guantes, de caucho vulcanizado no endurecido, desechable, para uso médico, excepto veterinaria",0,,
112,Exento,3626099000300,,"Delantales para rayos x, de caucho vulcanizado no endurecido, recubiertos de plomo",0,,
113,Exento,3627001010000,,"Preservativos, de caucho vulcanizado sin endurecer",0,,
114,Exento,3627002040100,,"Empaques, de caucho vulcanizado sin endurecer, de uso médico y odontológico",0,,
115,Exento,3627002080200,,"Tapones para bomba de succión, de caucho vulcanizado sin endurecer",0,,
116,Exento,3627002100100,,"Bolsas para agua caliente, de caucho vulcanizado sin endurecer",0,,
117,Exento,3627002100200,,"Bolsas para anestesia, de caucho vulcanizado sin endurecer",0,,
118,Exento,3627002100300,,"Bolsas para hielo, de caucho vulcanizado sin endurecer",0,,
119,Exento,3627002990300,,"Piezas utilizadas en implementos de ortopedia, de caucho vulcanizado sin endurecer",0,,
120,Exento,3627002990400,,"Peras de aire y de agua, de caucho vulcanizado sin endurecer",0,,
121,Exento,3633001010300,,"Planchas, láminas, películas, cintas y tiras de polietileno, flexibles, de uso médico, no adhesivas, no celulares y no reforzadas, laminadas, soportadas o combinadas con otros materiales",0,,
122,Exento,3633002010200,,"Planchas, láminas, películas, cintas y tiras de polímeros de propileno, flexibles, de uso médico, no adhesivas, no celulares y no reforzadas, laminadas, soportadas o combinadas con otros materiales",0,,
123,Exento,3633002990100,,"Planchas, láminas, películas, cintas y tiras de polímeros de propileno, de uso médico, no adhesivas, no celulares y no reforzadas, laminadas, soportadas o combinadas con otros materiales, n.c.p.",0,,
124,Exento,3633003000200,,"Planchas, láminas, películas, cintas y tiras de polímeros de estireno, de uso médico, no adhesivas, no celulares y no reforzadas, laminadas, soportadas o combinadas con otros materiales",0,,
125,Exento,3633099990100,,"Planchas, láminas, películas, cintas y tiras de plástico, de uso médico, no adhesivas, no celulares y no reforzadas, laminadas, soportadas o combinadas con otros materiales, n.c.p.",0,,
126,Exento,3695099050000,,Pasamanos de plástico,0,,
127,Exento,3699007010100,,"Bolsas para esterilizar artículos e instrumentos médicos, de plástico",0,,
128,Exento,3699007010200,,"Bolsas colectoras de orina, de plástico",0,,
129,Exento,3699007010300,,"Bolsas para colostomía, ostomía, ileostomía y similares, de plástico",0,,
130,Exento,3699007010400,,"Bolsas para drenaje urinario, de plástico",0,,
131,Exento,3699007010500,,"Bolsas para infusiones, de plástico",0,,
132,Exento,3699007010600,,"Bolsas para alimentación enteral, de plástico",0,,
133,Exento,3699007010700,,"Bolsas para alimentación parenteral, de plástico",0,,
134,Exento,3699007010800,,"Bolsas para almacenar sangre, de plástico",0,,
135,Exento,3699007010900,,"Bolsas y dispositivos para estomas, de plástico",0,,
136,Exento,3699007020100,,"Tubos de plástico para esterilizar, de uso médico",0,,
137,Exento,3699007020200,,"Tubos de plástico para cultivo, de uso médico",0,,
138,Exento,3699007020300,,"Tubos de plástico corrugados, para circuitos respiratorios y anestesia",0,,
139,Exento,3699007020400,,"Tubos de plástico, para pruebas de uso médico",0,,
140,Exento,3699007020500,,"Tubos de plástico, para separación de sueros",0,,
141,Exento,3699007029900,,"Tubos de plástico, de uso médico, n.c.p.",0,,
142,Exento,3699007030100,,"Envase para bomba de succión, de plástico",0,,
143,Exento,3699007030200,,"Cajas vacías para bandas de ortodoncia, de plástico",0,,
144,Exento,3699007030300,,"Vasos recolectores de orina, de plástico",0,,
145,Exento,3699007030400,,"Cubetas de plástico, para laboratorio, farmacia, medicina o higiene",0,,
146,Exento,3699007039900,,"Recipientes de plástico, de uso médico, n.c.p.",0,,
147,Exento,3699007990200,,"Micro pipetas, pipetas y sus accesorios, de plástico",0,,
148,Exento,3699007990300,,"Pipeteadores, de plástico",0,,
149,Exento,3699007990400,,"Depresores o baja lenguas, de plástico",0,,
150,Exento,3699007990500,,"Aplicadores con o sin algodón, de plástico",0,,
151,Exento,3699007990600,,"Cobertores para yeso en piernas y brazos, de plástico",0,,
152,Exento,3699007990700,,"Pesarios vaginales, de plástico",0,,
153,Exento,3699007999900,,"Artículos para laboratorio, farmacia, medicina o higiene, incluso graduados o calibrados, de plástico, n.c.p.",0,,
154,Exento,3719502010000,,"Tubos de vidrio para ensayo, de laboratorio, higiene y farmacia",0,,
155,Exento,3719502020000,,"Tubos de vidrio para cultivo, de laboratorio, higiene y farmacia",0,,
156,Exento,3719502030000,,"Tubos de vidrio para muestras sangre, de laboratorio",0,,
157,Exento,3719502040100,,"Tubos hematocritos para laboratorio, higiene y farmacia",0,,
158,Exento,3719502049900,,"Tubos capilares de vidrio para laboratorio, higiene y farmacia",0,,
159,Exento,3719502050000,,"Tubos de vidrio para esterilizar, de uso en laboratorios o con fines médicos",0,,
160,Exento,3719502990000,,"Tubos de vidrio para laboratorio, higiene y farmacia, n.c.p.",0,,
161,Exento,3719503000100,,Cajas de petri para laboratorio o farmacia,0,,
162,Exento,3719503000200,,"Frasco Erlenmeyer de vidrio, para laboratorio",0,,
163,Exento,3719503000300,,"Cubetas de vidrio para laboratorio, higiene y farmacia",0,,
164,Exento,3719503000400,,Morteros de vidrio para laboratorio y farmacia,0,,
165,Exento,3719503009900,,"Recipientes de vidrio para laboratorio, higiene y farmacia, n.c.p.",0,,
166,Exento,3719504000100,,"Losetas de vidrio para laboratorio, higiene y farmacia",0,,
167,Exento,3719504000200,,"Cubreobjetos de vidrio para laboratorio, higiene y farmacia",0,,
168,Exento,3719504000300,,"Portaobjetos de vidrio para laboratorio, higiene y farmacia",0,,
169,Exento,3719599010100,,"Artículos de cuarzo o demás sílices, fundidos, para diagnóstico químico o microbiológico, de uso veterinario",0,,
170,Exento,3719599010200,,Tubos de reactancia de cuarzo y soportes diseñados para su inserción en hornos de difusión y oxidación para la producción de discos (obleas) semiconductores,0,,
171,Exento,3719599019900,,"Artículos de cuarzo o demás sílices, fundidos, para laboratorio, higiene y farmacia, n.c.p.",0,,
172,Exento,3719599990100,,"Artículos de vidrio para diagnóstico químico o microbiológico, de uso veterinario",0,,
173,Exento,3719599990200,,"Lámparas para alcohol de laboratorio, higiene y farmacia",0,,
174,Exento,3719599990300,,"Agitadores de vidrio para laboratorio, higiene y farmacia",0,,
175,Exento,3719599999900,,"Artículos de vidrio para laboratorio, higiene y farmacia, n.c.p.",0,,
176,Exento,3791001030100,,"Piedras de afilar o pulir a mano, de uso médico u odontológico ",0,,
177,Exento,3791002990200,,"Tiras abrasivas, de uso médico u odontológico",0,,
178,Exento,3794000010100,,"Mezclas bituminosas a base de asfalto natural, derivados de petróleo",0,,
179,Exento,3794000010200,,"Mezclas bituminosas a base de asfalto natural, emulsión asfáltica",0,,
180,Exento,3794000019900,,Mezclas bituminosas a base de asfalto natural n.c.p.,0,,
181,Exento,3993900000000,,"Desechos clínicos, n.c.p.",0,,
182,Exento,4299901020200,,"Bandejas de acero inoxidable, para esterilización",0,,
183,Exento,4299902991700,,"Bandejas para esterilización, de hierro o acero",0,,
184,Exento,4299902991800,,"Esponjas, estropajos y artículos similares, de hierro o acero, de uso médico, microbiológico u odontológico",0,,
185,Exento,4323001020100,,Bombas de vacío para extracción de leche materna,0,,
186,Exento,4323002000300,,Compresores de aire de uso médico u odontológico,0,,
187,Exento,4325499010000,,"Tomas de pared para gases, de uso médico",0,,
188,Exento,4342002010300,,"Hornos eléctricos de calor seco, para la esterilización, de uso médico ",0,,
189,Exento,4391399000400,,Refrigerador para bancos de sangre,0,,
190,Exento,4391399000500,,Refrigerador mortuario,0,,
191,Exento,4391401020100,,"Desionizadores de agua, de uso hospitalario",0,,
192,Exento,4391401020200,,"Filtros en forma de discos, de uso microbiológico",0,,
193,Exento,4391401020300,,"Filtros en forma de hojas o almohadillas, de uso microbiológico",0,,
194,Exento,4391401029900,,"Máquinas y aparatos para la filtración o depuración de líquidos, de uso médico, odontológico y microbiológico, n.c.p.",0,,
195,Exento,4391402010000,,Campanas para la extracción de gases,0,,
196,Exento,4393102040100,,"Microcentrífugas, para laboratorio, medicina y veterinaria",0,,
197,Exento,4393102040200,,"Ultracentrífugas, para laboratorio, medicina y veterinaria",0,,
198,Exento,4393102049900,,"Centrífugas, para laboratorio, medicina y veterinaria, n.c.p.",0,,
199,Exento,4393201010000,,"Calentador de parafina, de uso médico o de laboratorio",0,,
200,Exento,4393201020000,,"Equipo Baño María, de uso médico o de laboratorio",0,,
201,Exento,4393201030000,,Incubadoras para laboratorio,0,,
202,Exento,4442800000000,,Volquetes para uso fuera de carretera,0,,
203,Exento,4693999030100,,Máquinas y aparatos de electroforesis,0,,
204,Exento,4769100000000,,"Audio libros en disco, cinta u otros medios físicos",0,,
205,Exento,4811001010000,,Aparatos de tomografía regidos por una máquina automática de tratamiento o procesamiento de datos,0,,
206,Exento,4811001020000,,"Aparatos basados en el uso de rayos X, para uso odontológico",0,,
207,Exento,4811001030100,,"Aparatos basados en el uso de rayos X, para angiografías",0,,
208,Exento,4811001030200,,"Aparatos basados en el uso de rayos X, para mamografías (mamógrafo)",0,,
209,Exento,4811001030300,,"Aparatos basados en el uso de rayos X, para radioscopía o fluoroscopía",0,,
210,Exento,4811001039900,,"Aparatos basados en el uso de rayos X, para uso médico, quirúrgico o veterinario, n.c.p.",0,,
211,Exento,4811001990100,,Aparatos de rayos X para radioterapia,0,,
212,Exento,4811001999900,,"Aparatos basados en el uso de rayos X, n.c.p.",0,,
213,Exento,4811002010100,,"Aparatos basados en el uso de radiaciones alfa, beta o gamma, para radioterapia",0,,
214,Exento,4811002019900,,"Aparatos basados en el uso de radiaciones alfa, beta o gamma, para uso médico, quirúrgico o veterinario, n.c.p.",0,,
215,Exento,4811002990100,,Colimadores para equipos de rayos X,0,,
216,Exento,4811002999900,,"Aparatos basados en el uso de radiaciones alfa, beta o gamma, n.c.p.",0,,
217,Exento,4811003000000,,Tubos de rayos X,0,,
218,Exento,4811004000000,,Equipo para procesar placas radiográficas,0,,
219,Exento,4811098000100,,Marcos para radiografías ,0,,
220,Exento,4811098000200,,"Pantallas recubiertas de plomo, para protección de rayos X",0,,
221,Exento,4811098000300,,Caja para revelar radiografías,0,,
222,Exento,4811098000400,,Casete de películas de rayos X,0,,
223,Exento,4811098009900,,"Partes y accesorios para aparatos de rayos X y que utilicen radiaciones alfa, beta o gamma, excepto tubos de rayos X",0,,
224,Exento,4812101000000,,Electrocardiógrafos,0,,
225,Exento,4812102000000,,Aparatos de diagnóstico por exploración ultrasónica (ecografía),0,,
226,Exento,4812103000000,,Aparatos de diagnóstico de visualización por resonancia magnética,0,,
227,Exento,4812104000000,,Aparatos de centellografía,0,,
228,Exento,4812105000000,,Equipo de soporte para funciones vitales,0,,
229,Exento,4812106000000,,"Monitores fetales o ""doppler""",0,,
230,Exento,4812107000000,,Densitómetros,0,,
231,Exento,4812108000000,,Rinomanómetros,0,,
232,Exento,4812109000000,,Oxímetro ,0,,
233,Exento,4812110010000,,Artroscopios para diagnóstico,0,,
234,Exento,4812110020000,,Broncoscopios para diagnóstico,0,,
235,Exento,4812110030000,,Cistoscopios para diagnóstico,0,,
236,Exento,4812110040000,,Colonoscopios para diagnóstico,0,,
237,Exento,4812110050000,,Colposcopios para diagnóstico,0,,
238,Exento,4812110060000,,Esofagoscopios para diagnóstico,0,,
239,Exento,4812110070100,,Naso-faringoscopios flexibles para diagnóstico,0,,
240,Exento,4812110079900,,"Faringoscopios para diagnóstico, n.c.p.",0,,
241,Exento,4812110080000,,Gastroscopios para diagnóstico,0,,
242,Exento,4812110090000,,Laparoscopios para diagnóstico,0,,
243,Exento,4812110100000,,Laringoscopios para diagnóstico,0,,
244,Exento,4812110110000,,Oftalmoscopios para diagnóstico,0,,
245,Exento,4812110120000,,Otoscopios para diagnóstico,0,,
246,Exento,4812110130000,,Proctoscopios para diagnóstico,0,,
247,Exento,4812110140000,,Retinoscopios para diagnóstico,0,,
248,Exento,4812110150000,,Rinoscopios para diagnóstico,0,,
249,Exento,4812110160000,,Sigmoidoscopios para diagnóstico,0,,
250,Exento,4812110990000,,"Endoscopios para diagnóstico, n.c.p.",0,,
251,Exento,4812111000000,,Fibroscopio para diagnóstico ,0,,
252,Exento,4812198030100,,Electrodos para calibrar oxímetros,0,,
253,Exento,4812198030200,,Electrodos para electrocardiograma,0,,
254,Exento,4812198039900,,"Electrodos para equipo de diagnóstico, n.c.p.",0,,
255,Exento,4812198040000,,Mangos para equipos de diagnóstico,0,,
256,Exento,4812198050000,,Puertas para equipo de ultrasonido,0,,
257,Exento,4812198060000,,Conectores para equipo de diagnóstico ,0,,
258,Exento,4812199990000,,"Aparatos eléctricos para diagnóstico, utilizados en medicina, cirugía, odontología o veterinaria, n.c.p.",0,,
259,Exento,4813001000000,,"Tornos dentales, incluso combinados con otros equipos dentales sobre basamento común",0,,
260,Exento,4813002010100,,"Equipo de pulido electrolítico, de uso odontológico",0,,
261,Exento,4813002019900,,"Equipo o instrumentos para pulir o reducir metales, de uso odontológico, n.c.p.",0,,
262,Exento,4813002990100,,"Arenadora, de uso odontológico",0,,
263,Exento,4813002990200,,"Cepillos para pulir, de uso odontológico",0,,
264,Exento,4813002990300,,"Limas, de uso odontológico",0,,
265,Exento,4813002999900,,"Equipo o instrumentos para pulir, de uso odontológico, n.c.p.",0,,
266,Exento,4813003000100,,"Motor de aire, de uso odontológico",0,,
267,Exento,4813003000200,,"Micromotor de baja velocidad, para uso odontológico",0,,
268,Exento,4813003009900,,"Motores, para uso odontológico, n.c.p.",0,,
269,Exento,4813004000100,,"Mezcladores de yeso, para uso odontológico",0,,
270,Exento,4813004000200,,"Cuchillos para yeso, de uso odontológico",0,,
271,Exento,4813004000300,,"Copa de hule para batir yeso, de uso odontológico",0,,
272,Exento,4813004009900,,"Equipo o instrumentos para tratamiento de yeso, para uso odontológico, n.c.p.",0,,
273,Exento,4813005010100,,"Escarificador eléctrico, de uso odontológico ",0,,
274,Exento,4813005010200,,"Escarificador neumático, de uso odontológico ",0,,
275,Exento,4813005019900,,"Escarificador, de uso odontológico, n.c.p.",0,,
276,Exento,4813005990100,,"Cortadora para alambres, de uso odontológico",0,,
277,Exento,4813005990200,,"Cortadora tipo sierras, de uso odontológico",0,,
278,Exento,4813005999900,,"Equipo o instrumentos para cortar, de uso odontológico, n.c.p.",0,,
279,Exento,4813006010000,,"Pinzas, para uso odontológico",0,,
280,Exento,4813006020000,,"Alicates, para uso odontológico",0,,
281,Exento,4813006030000,,"Porta clamps, para uso odontológico",0,,
282,Exento,4813006990000,,"Instrumentos similares a las pinzas y alicates, de uso odontológico, n.c.p.",0,,
283,Exento,4813007000100,,"Mordedor plástico, para ajustar bandas de ortodoncia",0,,
284,Exento,4813007000200,,"Abrebocas plásticos, para uso odontológico ",0,,
285,Exento,4813007000300,,"Bandas matrices plásticas, de uso odontológico",0,,
286,Exento,4813007000400,,"Cubetas plásticas de impresión dental, de uso odontológico",0,,
287,Exento,4813007000500,,"Eyectores de saliva, de uso odontológico",0,,
288,Exento,4813007009900,,"Artículos de plástico, para uso odontológico, n.c.p.",0,,
289,Exento,4813008000100,,"Cincel para hueso, de uso odontológico",0,,
290,Exento,4813008000200,,"Bruñidores (bola, huevo, anatómico, frahan, cleoide y los demás), de uso odontológico",0,,
291,Exento,4813008000300,,"Cucharas y excavadoras, de uso odontológico",0,,
292,Exento,4813008000400,,"Exploradores, de uso odontológico",0,,
293,Exento,4813008000500,,"Raspadores, de uso odontológico",0,,
294,Exento,4813008000600,,"Curetas, de uso odontológico",0,,
295,Exento,4813008000700,,"Elevadores (instrumento), de uso odontológico",0,,
296,Exento,4813008000800,,"Recortadores, de uso odontológico",0,,
297,Exento,4813008000900,,"Ganchos de metal, de uso odontológico",0,,
298,Exento,4813008001000,,"Quita puentes, de uso odontológico",0,,
299,Exento,4813008001100,,"Separador de acero, de uso dental",0,,
300,Exento,4813008001200,,"Espátula, de uso odontológico",0,,
301,Exento,4813008001300,,"Calibrador, de uso odontológico",0,,
302,Exento,4813008001400,,"Cambia brocas y saca brocas, de uso odontológico",0,,
303,Exento,4813008001500,,"Cuñas de madera, de uso odontológico",0,,
304,Exento,4813008001600,,"Espejos, de uso odontológico",0,,
305,Exento,4813008001700,,"Fórceps, de uso odontológico",0,,
306,Exento,4813008001800,,"Afilador de instrumentos dentales, de uso odontológico",0,,
307,Exento,4813008001900,,"Lupa visor, de uso odontológico",0,,
308,Exento,4813008002000,,"Cavitron, de uso odontológico",0,,
309,Exento,4813008002100,,"Dicalero, de uso odontológico",0,,
310,Exento,4813008002200,,"Discoide, de uso odontológico",0,,
311,Exento,4813008002300,,"Periostotomos, de uso odontológico",0,,
312,Exento,4813008002400,,"Léntulos, de uso odontológico",0,,
313,Exento,4813008002500,,"Tiranervios, de uso odontológico",0,,
314,Exento,4813008002600,,"Porta amalgama, de uso odontológico",0,,
315,Exento,4813008009900,,"Instrumentos o piezas de mano, de uso odontológico, n.c.p.",0,,
316,Exento,4813009000000,,Equipo de fundición para metales dentales,0,,
317,Exento,4813010000000,,"Equipo de duplicado, para uso odontológico",0,,
318,Exento,4813011010100,,"Juego de limas para conducto radicular, de uso odontológico",0,,
319,Exento,4813011010200,,"Juego de limas rotatorias, de uso odontológico",0,,
320,Exento,4813011019900,,Juego de limas para preparación biomecánica de sistemas rotatorios en endodoncia,0,,
321,Exento,4813011990100,,Juego de cemento para endodoncia con base de resina,0,,
322,Exento,4813011999900,,"Juego de implementos, de uso odontológico, n.c.p.",0,,
323,Exento,4813098010100,,"Brocas, para uso odontológico ",0,,
324,Exento,4813098010200,,"Fresas, para uso odontológico ",0,,
325,Exento,4813098010300,,"Puntas, de uso odontológico",0,,
326,Exento,4813098020100,,"Discos abrasivos, para uso odontológico ",0,,
327,Exento,4813098020200,,"Discos para recortadora de yeso, para uso odontológico ",0,,
328,Exento,4813098029900,,"Discos (metal, hule, felpa, otros), de uso odontológico, n.c.p.",0,,
329,Exento,4813098030100,,Cápsulas para amalgamador dental,0,,
330,Exento,4813098030200,,Manecilla de amalgamador dental ,0,,
331,Exento,4813098030300,,Tapa para amalgamador dental,0,,
332,Exento,4813098039900,,"Partes y piezas para amalgamador dental, n.c.p.",0,,
333,Exento,4813098040000,,Partes y piezas para porta amalgamador dental ,0,,
334,Exento,4813098050000,,"Partes y piezas para equipo o instrumentos para pulir, de uso odontológico  ",0,,
335,Exento,4813098990100,,"Tubos, de uso odontológico",0,,
336,Exento,4813098990200,,"Cadenas con prensa para servilletas, de uso odontológico",0,,
337,Exento,4813098990300,,"Prensas para acrílicos, de uso odontológico",0,,
338,Exento,4813098990400,,"Dique de goma, de uso odontológico",0,,
339,Exento,4813098990500,,"Marco dique, de uso odontológico",0,,
340,Exento,4813098990600,,"Conos de fieltro, de uso odontológico",0,,
341,Exento,4813098990700,,"Pedal control aire, para equipos de uso odontológico",0,,
342,Exento,4813098990800,,"Uniones, para equipos de uso odontológico",0,,
