id,base_imponible,cantidad,codigo,comment,currency_code,detalle,impuesto_neto,name,numero_linea,precio_unitario,price_with_tax,price_without_tax,sub_total,tax,unidad_medida,facturas_id,impuesto_codigo_id,impuesto_tarifa_id,nota_id
910,23.0,1,3562108000111,,,Lorcaserin,0.46,adelm,1,23.0,23.46,23.0,23.0,0.46,Cm,952.0,7,3,
911,2.0,1,2118402000111,,,"Paté, con predominio de carne de cerdo (de 51% a menos de 100%)",0.02,Water,1,2.0,2.02,2.0,2.0,0.02,h,,1,2,9.0
912,2.0,1,2118402000111,,,"Paté, con predominio de carne de cerdo (de 51% a menos de 100%)",0.02,Water,1,2.0,2.02,2.0,2.0,0.02,h,,1,2,10.0
952,2.0,1,2118402000111,,,"Paté, con predominio de carne de cerdo (de 51% a menos de 100%)",0.02,Water,1,2.0,2.02,2.0,2.0,0.02,h,,1,2,52.0
1002,100.0,1,3562101000302,,,Dexametasona como preparado estomatológico,2.0,Tomato,1,100.0,102.0,100.0,100.0,2.0,Cm,1002.0,1,3,
1003,100.0,1,3562101000302,,,Dexametasona como preparado estomatológico,2.0,Tomato,1,100.0,102.0,100.0,100.0,2.0,Cm,,1,3,102.0
1004,100.0,1,3562101000302,,,Dexametasona como preparado estomatológico,2.0,Tomato,1,100.0,102.0,100.0,100.0,2.0,Cm,1003.0,1,3,
1005,10.0,1,3562108000111,,,Lorcaserin,0.2,Test one,1,10.0,10.2,10.0,10.0,0.2,Cm,1004.0,3,3,
1006,10.0,1,3562108000111,,,Lorcaserin,0.2,Test one,1,10.0,10.2,10.0,10.0,0.2,Cm,1005.0,3,3,
1052,10.0,1,3562108000111,,,Lorcaserin,0.2,Test one,1,10.0,10.2,10.0,10.0,0.2,Cm,1052.0,3,3,
1053,100.0,1,8222100000000,,,,13.0,Product 1,1,100.0,113.0,100.0,100.0,13.0,Spe,1053.0,1,8,
1054,100.0,1,8222100000000,,,,13.0,Product 1,2,100.0,113.0,100.0,100.0,13.0,Spe,1053.0,1,8,
1055,10.0,1,3562108000111,,,Lorcaserin,0.2,Test one,3,10.0,10.2,10.0,10.0,0.2,Cm,1053.0,3,3,
1102,100.0,1,3562101000302,,,Dexametasona como preparado estomatológico,2.0,Tomato,1,100.0,102.0,100.0,100.0,2.0,Cm,1102.0,1,3,
1103,10.0,1,3562108000111,,,Lorcaserin,0.2,Test one,1,10.0,10.2,10.0,10.0,0.2,Cm,1103.0,3,3,
1104,10.0,1,3562108000111,,,Lorcaserin,0.2,Test one,1,10.0,10.2,10.0,10.0,0.2,Cm,1104.0,3,3,
1105,10.0,1,3562108000111,,,Lorcaserin,0.2,Test one,1,10.0,10.2,10.0,10.0,0.2,Cm,1105.0,3,3,
1106,10.0,1,3562108000111,,,Lorcaserin,0.2,Test one,1,10.0,10.2,10.0,10.0,0.2,Cm,1106.0,3,3,
1107,10.0,1,3562108000111,,,Lorcaserin,0.2,Test one,1,10.0,10.2,10.0,10.0,0.2,Cm,1107.0,3,3,
1108,10.0,1,3562108000111,,,Lorcaserin,0.2,Test one,1,10.0,10.2,10.0,10.0,0.2,Cm,1108.0,3,3,
1109,100.0,1,3562101000302,,,Dexametasona como preparado estomatológico,2.0,Tomato,1,100.0,102.0,100.0,100.0,2.0,Cm,1109.0,1,3,
1110,100.0,1,3562101000302,,,Dexametasona como preparado estomatológico,2.0,Tomato,1,100.0,102.0,100.0,100.0,2.0,Cm,1110.0,1,3,
1111,100.0,1,3562101000302,,,Dexametasona como preparado estomatológico,2.0,Tomato,1,100.0,102.0,100.0,100.0,2.0,Cm,1111.0,1,3,
1152,10.0,1,3562108000111,,,Lorcaserin,0.2,Test one,1,10.0,10.2,10.0,10.0,0.2,Cm,1152.0,3,3,
1153,10.0,1,3562108000111,,,Lorcaserin,0.2,Test one,1,10.0,10.2,10.0,10.0,0.2,Cm,1153.0,3,3,
1154,100.0,1,3562101000302,,,Dexametasona como preparado estomatológico,2.0,Tomato,1,100.0,102.0,100.0,100.0,2.0,Cm,1154.0,1,3,
1155,100.0,1,8222100000000,,,,13.0,Product 1,1,100.0,113.0,100.0,100.0,13.0,Spe,1155.0,1,8,
1156,1037.2,1,3562108000111,,CRC,Lorcaserin,20.744,mac pc,1,1037.2,1057.94,1037.2,1037.2,20.74,h,1156.0,1,3,
1157,100.0,1,8222100000000,,,,13.0,Product 1,1,100.0,113.0,100.0,100.0,13.0,Spe,1157.0,1,8,
1158,100.0,1,3562101000302,,,Dexametasona como preparado estomatológico,2.0,Tomato,2,100.0,102.0,100.0,100.0,2.0,Cm,1157.0,1,3,
1159,100.0,3,8222100000000,,,,39.0,Product 1,1,100.0,339.0,300.0,300.0,39.0,Spe,1158.0,1,8,
1160,100.0,1,3562101000302,,,Dexametasona como preparado estomatológico,2.0,Tomato,2,100.0,102.0,100.0,100.0,2.0,Cm,1158.0,1,3,
1161,100.0,1,8222100000000,,,,13.0,Product 1,1,100.0,113.0,100.0,100.0,13.0,Spe,1159.0,1,8,
1162,100.0,1,3562101000302,,,Dexametasona como preparado estomatológico,2.0,Tomato,2,100.0,102.0,100.0,100.0,2.0,Cm,1159.0,1,3,
1202,30.0,1,3562108000111,,,Lorcaserin,0.6,product 1,1,30.0,30.6,30.0,30.0,0.6,Alc,1202.0,2,3,
1252,100.0,1,8222100000000,,,,13.0,Product 1,1,100.0,113.0,100.0,100.0,13.0,Spe,1252.0,1,8,
1253,100.0,1,3562101000302,,,Dexametasona como preparado estomatológico,2.0,Tomato,2,100.0,102.0,100.0,100.0,2.0,Cm,1252.0,1,3,
1254,100.0,2,8222100000000,,,,26.0,Product 1,1,100.0,226.0,200.0,200.0,26.0,Spe,1253.0,1,8,
1255,100.0,1,3562101000302,,,Dexametasona como preparado estomatológico,2.0,Tomato,2,100.0,102.0,100.0,100.0,2.0,Cm,1253.0,1,3,
1302,100.0,1,8222100000000,,,,13.0,Product 1,1,100.0,113.0,100.0,100.0,13.0,Spe,1302.0,1,8,
1352,100.0,1,8222100000000,,,,13.0,Product 1,1,100.0,113.0,100.0,100.0,13.0,Spe,,1,8,152.0
1353,100.0,1,8222100000000,,,,13.0,Product 1,1,100.0,113.0,100.0,100.0,13.0,Spe,,1,8,153.0
1402,78.0,1,8222100000000,,,,10.14,Product 1,1,78.0,88.14,78.0,78.0,10.14,Spe,,1,8,
1403,78.0,-2,8222100000000,,,,-20.28,Product 1,1,78.0,-176.28,-156.0,-156.0,-20.28,Spe,,1,8,
1404,78.0,-2,8222100000000,,,,-20.28,Product 1,1,78.0,-176.28,-156.0,-156.0,-20.28,Spe,,1,8,
1405,8.0,1,8222100000000,,,,1.04,Product 1,1,8.0,9.04,8.0,8.0,1.04,Spe,,1,8,
1406,8.0,1,8222100000000,,,,1.04,Product 1,1,8.0,9.04,8.0,8.0,1.04,Spe,,1,8,
1407,8.0,1,8222100000000,,,,1.04,Product 1,1,8.0,9.04,8.0,8.0,1.04,Spe,,1,8,
1408,8.0,1,8222100000000,,,,1.04,Product 1,1,8.0,9.04,8.0,8.0,1.04,Spe,,1,8,
1409,98.0,0,8222100000000,,,,0.0,Product 1,1,98.0,0.0,0.0,0.0,0.0,Spe,,1,8,
1410,98.0,0,8222100000000,,,,0.0,Product 1,1,98.0,0.0,0.0,0.0,0.0,Spe,,1,8,
1411,98.0,0,8222100000000,,,,0.0,Product 1,1,98.0,0.0,0.0,0.0,0.0,Spe,,1,8,
1412,0.0,6,8222100000000,,,,0.0,Product 1,1,0.0,0.0,0.0,0.0,0.0,Spe,,1,8,
1413,9.0,1,8222100000000,,,,1.17,Product 1,1,9.0,10.17,9.0,9.0,1.17,Spe,,1,8,
1414,89.0,-2,8222100000000,,,,-23.14,Product 1,1,89.0,-201.14,-178.0,-178.0,-23.14,Spe,,1,8,
1415,89.0,-3,8222100000000,,,,-34.71,Product 1,1,89.0,-301.71,-267.0,-267.0,-34.71,Spe,,1,8,
1416,89.0,1,8222100000000,,,,11.57,Product 1,1,89.0,100.57,89.0,89.0,11.57,Spe,,1,8,
1417,8.0,1,8222100000000,,,,1.04,Product 1,1,8.0,9.04,8.0,8.0,1.04,Spe,,1,8,
1418,8.0,1,8222100000000,,,,1.04,Product 1,1,8.0,9.04,8.0,8.0,1.04,Spe,,1,8,
1419,78.0,0,8222100000000,,,,0.0,Product 1,1,78.0,0.0,0.0,0.0,0.0,Spe,,1,8,
1420,78.0,0,8222100000000,,,,0.0,Product 1,1,78.0,0.0,0.0,0.0,0.0,Spe,,1,8,
1421,90.0,1,8222100000000,,,,11.7,Product 1,1,90.0,101.7,90.0,90.0,11.7,Spe,,1,8,
1422,90.0,1,8222100000000,,,,11.7,Product 1,1,90.0,101.7,90.0,90.0,11.7,Spe,,1,8,
1423,90.0,1,8222100000000,,,,11.7,Product 1,1,90.0,101.7,90.0,90.0,11.7,Spe,,1,8,
1424,89.0,1,8222100000000,,,,11.57,Product 1,1,89.0,100.57,89.0,89.0,11.57,Spe,,1,8,
1425,90.0,1,8222100000000,,,,11.7,Product 1,1,90.0,101.7,90.0,90.0,11.7,Spe,,1,8,
1426,89.0,1,8222100000000,,,,11.57,Product 1,1,89.0,100.57,89.0,89.0,11.57,Spe,,1,8,
1427,90.0,1,8222100000000,,,,11.7,Product 1,1,90.0,101.7,90.0,90.0,11.7,Spe,,1,8,
1428,90.0,1,8222100000000,,,,11.7,Product 1,1,90.0,101.7,90.0,90.0,11.7,Spe,,1,8,
1429,90.0,10,8222100000000,,,,117.0,Product 1,1,90.0,1017.0,900.0,900.0,117.0,Spe,,1,8,
1430,87.0,1,8222100000000,,,,11.31,Product 1,1,87.0,98.31,87.0,87.0,11.31,Spe,,1,8,
1431,89.0,1,8222100000000,,,,11.57,Product 1,1,89.0,100.57,89.0,89.0,11.57,Spe,,1,8,
1432,89.0,1,8222100000000,,,,11.57,Product 1,1,89.0,100.57,89.0,89.0,11.57,Spe,,1,8,
1433,90.0,1,8222100000000,,,,11.7,Product 1,1,90.0,101.7,90.0,90.0,11.7,Spe,,1,8,
1434,90.0,1,8222100000000,,,,11.7,Product 1,1,90.0,101.7,90.0,90.0,11.7,Spe,,1,8,
1435,89.0,1,8222100000000,,,,11.57,Product 1,1,89.0,100.57,89.0,89.0,11.57,Spe,,1,8,
1436,89.0,1,8222100000000,,,,11.57,Product 1,1,89.0,100.57,89.0,89.0,11.57,Spe,,1,8,
1437,9.0,107,8222100000000,,,,125.19,Product 1,1,9.0,1088.19,963.0,963.0,125.19,Spe,,1,8,
1438,90.0,1,8222100000000,,,,11.7,Product 1,1,90.0,101.7,90.0,90.0,11.7,Spe,,1,8,
1439,90.0,1,8222100000000,,,,11.7,Product 1,1,90.0,101.7,90.0,90.0,11.7,Spe,,1,8,
1440,90.0,1,8222100000000,,,,11.7,Product 1,1,90.0,101.7,90.0,90.0,11.7,Spe,,1,8,
1441,89.0,1,8222100000000,,,,11.57,Product 1,1,89.0,100.57,89.0,89.0,11.57,Spe,,1,8,
1442,89.0,1,8222100000000,,,,11.57,Product 1,1,89.0,100.57,89.0,89.0,11.57,Spe,,1,8,
1452,32.0,1,8222100000000,,,,4.16,Product 1,1,32.0,36.16,32.0,32.0,4.16,Spe,,1,8,
1453,32.0,1,8222100000000,,,,4.16,Product 1,1,32.0,36.16,32.0,32.0,4.16,Spe,,1,8,
1454,2.0,-5,8222100000000,,,,-1.3,Product 1,1,2.0,-11.3,-10.0,-10.0,-1.3,Spe,,1,8,
1455,32.0,1,8222100000000,,,,4.16,Product 1,1,32.0,36.16,32.0,32.0,4.16,Spe,,1,8,
1456,90.0,-2,8222100000000,,,,-23.4,Product 1,1,90.0,-203.4,-180.0,-180.0,-23.4,Spe,,1,8,
1457,89.0,1,8222100000000,,,,11.57,Product 1,1,89.0,100.57,89.0,89.0,11.57,Spe,,1,8,
1458,88.0,1,8222100000000,,,,11.44,Product 1,1,88.0,99.44,88.0,88.0,11.44,Spe,,1,8,
1459,78.0,1,8222100000000,,,,10.14,Product 1,1,78.0,88.14,78.0,78.0,10.14,Spe,,1,8,
1460,32.0,1,8222100000000,,,,4.16,Product 1,1,32.0,36.16,32.0,32.0,4.16,Spe,,1,8,
1461,78.0,1,8222100000000,,,,10.14,Product 1,1,78.0,88.14,78.0,78.0,10.14,Spe,,1,8,
1462,78.0,1,8222100000000,,,,10.14,Product 1,1,78.0,88.14,78.0,78.0,10.14,Spe,,1,8,
1463,78.0,1,8222100000000,,,,10.14,Product 1,1,78.0,88.14,78.0,78.0,10.14,Spe,,1,8,
1464,1.0,15,8222100000000,,,,1.95,Product 1,1,1.0,16.95,15.0,15.0,1.95,Spe,,1,8,
1465,21.0,1,8222100000000,,,,2.73,Product 1,1,21.0,23.73,21.0,21.0,2.73,Spe,,1,8,
1466,78.0,1,8222100000000,,,,10.14,Product 1,1,78.0,88.14,78.0,78.0,10.14,Spe,,1,8,
1467,90.0,1,8222100000000,,,,11.7,Product 1,1,90.0,101.7,90.0,90.0,11.7,Spe,,1,8,
1468,90.0,1,8222100000000,,,,11.7,Product 1,1,90.0,101.7,90.0,90.0,11.7,Spe,,1,8,
1469,761.0,-3,8222100000000,,,,-296.79,Product 1,1,761.0,-2579.79,-2283.0,-2283.0,-296.79,Spe,,1,8,
1470,98.0,1,8222100000000,,,,12.74,Product 1,1,98.0,110.74,98.0,98.0,12.74,Spe,,1,8,
1471,8.0,1,8222100000000,,,,1.04,Product 1,1,8.0,9.04,8.0,8.0,1.04,Spe,,1,8,
1472,8.0,1,8222100000000,,,,1.04,Product 1,1,8.0,9.04,8.0,8.0,1.04,Spe,,1,8,
1473,56.0,1,8222100000000,,,,7.28,Product 1,1,56.0,63.28,56.0,56.0,7.28,Spe,,1,8,
1474,56.0,1,8222100000000,,,,7.28,Product 1,1,56.0,63.28,56.0,56.0,7.28,Spe,,1,8,
1502,33.0,33,8222100000000,,,,141.57,Product 1,1,33.0,1230.57,1089.0,1089.0,141.57,Spe,,1,8,
1503,33.0,44,8222100000000,,,,188.76,Product 1,1,33.0,1640.76,1452.0,1452.0,188.76,Spe,,1,8,
1552,98.0,10,8222100000000,,,,127.4,Product 1,1,98.0,1107.4,980.0,980.0,127.4,Spe,,1,8,
1553,98.0,10,8222100000000,,,,127.4,Product 1,1,98.0,1107.4,980.0,980.0,127.4,Spe,,1,8,
1554,98.0,10,8222100000000,,,,127.4,Product 1,1,98.0,1107.4,980.0,980.0,127.4,Spe,,1,8,
1555,98.0,10,8222100000000,,,,127.4,Product 1,1,98.0,1107.4,980.0,980.0,127.4,Spe,,1,8,
1556,98.0,10,8222100000000,,,,127.4,Product 1,1,98.0,1107.4,980.0,980.0,127.4,Spe,,1,8,
1557,98.0,10,8222100000000,,,,127.4,Product 1,1,98.0,1107.4,980.0,980.0,127.4,Spe,,1,8,
1558,98.0,10,8222100000000,,,,127.4,Product 1,1,98.0,1107.4,980.0,980.0,127.4,Spe,,1,8,
1559,98.0,10,8222100000000,,,,127.4,Product 1,1,98.0,1107.4,980.0,980.0,127.4,Spe,,1,8,
1560,69.0,1,3563901000111,,,"Extracto de alérgeno, animales",1.38, product,1,69.0,70.38,69.0,69.0,1.38,Al,1352.0,6,3,
1561,69.0,1,3563901000111,,,"Extracto de alérgeno, animales",1.38, product,1,69.0,70.38,69.0,69.0,1.38,Al,1353.0,6,3,
1602,69.0,1,3563901000111,,,"Extracto de alérgeno, animales",1.38, product,1,69.0,70.38,69.0,69.0,1.38,Al,1402.0,6,3,
1603,69.0,1,3563901000111,,,"Extracto de alérgeno, animales",1.38, product,1,69.0,70.38,69.0,69.0,1.38,Al,1403.0,6,3,
1604,69.0,1,3563901000111,,,"Extracto de alérgeno, animales",1.38, product,1,69.0,70.38,69.0,69.0,1.38,Al,1404.0,6,3,
1605,69.0,1,3563901000111,,,"Extracto de alérgeno, animales",1.38, product,1,69.0,70.38,69.0,69.0,1.38,Al,1405.0,6,3,
1606,69.0,1,3563901000111,,,"Extracto de alérgeno, animales",1.38, product,1,69.0,70.38,69.0,69.0,1.38,Al,1406.0,6,3,
1607,69.0,1,3563901000111,,,"Extracto de alérgeno, animales",1.38, product,1,69.0,70.38,69.0,69.0,1.38,Al,1407.0,6,3,
1608,69.0,1,3563901000111,,,"Extracto de alérgeno, animales",1.38, product,1,69.0,70.38,69.0,69.0,1.38,Al,1408.0,6,3,
1609,69.0,1,3563901000111,,,"Extracto de alérgeno, animales",1.38, product,1,69.0,70.38,69.0,69.0,1.38,Al,1409.0,6,3,
1610,69.0,1,3563901000111,,,"Extracto de alérgeno, animales",1.38, product,1,69.0,70.38,69.0,69.0,1.38,Al,1410.0,6,3,
1611,69.0,1,3563901000111,,,"Extracto de alérgeno, animales",1.38, product,1,69.0,70.38,69.0,69.0,1.38,Al,1411.0,6,3,
1612,69.0,1,3563901000111,,,"Extracto de alérgeno, animales",1.38, product,1,69.0,70.38,69.0,69.0,1.38,Al,1412.0,6,3,
1613,90.0,1,3563901000111,,,"Extracto de alérgeno, animales",1.8, product,1,90.0,91.8,90.0,90.0,1.8,Al,,6,3,
1614,90.0,1,3563901000111,,,"Extracto de alérgeno, animales",1.8, product,1,90.0,91.8,90.0,90.0,1.8,Al,,6,3,
